,symbol,display_symbol,name,aliases,shortname,last_price_usd,market_cap_rank,volume_rank,price_change_1H_percent,price_change_1D_percent,price_change_7D_percent,price_change_30D_percent,price_change_90D_percent,price_change_180D_percent,price_change_365D_percent,price_change_3Y_percent,price_change_5Y_percent,price_change_ALL_percent,price_change_YTD_percent,volume_24_usd,display,trading_since,supply,last_update,ico_end,include_supply,use_volume,growth_all_time,ccu_slug,image_hash,market_cap_usd,categories
9965,YCHT,YCHT,Yachtco,,yachtco,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1572960026,2020-02-04 23:59:00,true,true,,yachtco,,0.0,[]
9966,YDST,YDST,Your Data Safe,,your-data-safe,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1537186312,2018-10-31 23:59:00,true,true,,your-data-safe,,0.0,[]
9967,YEET,YEET,$YEET,,yeet,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1604500280,,true,true,,yeet,,0.0,[15]
9968,YEFI,YEFI,YeFi,,yefi,3.47,,1871.0,-4.14,7.71,-27.1,-35.54,-20.03,-20.03,-20.03,-20.03,-20.03,-20.02,-20.03,40510.0,true,2021-07-27 16:00:00,,1632745666,,true,true,,yefi,,0.0,"[3, 14, 16]"
9969,YELD,YELD,Yeld Finance,,yeld-finance,7.79,,2541.0,-0.38,-1.05,-3.67,-20.58,57.72,-59.68,-88.22,-74.61,-74.61,-76.61,1.12,880.0,true,2020-09-09 14:15:00,,1632745727,,true,true,,yeld-finance,,0.0,[15]
9970,YETI,YETI,Yearn Ecosystem Token Index,,yearn-ecosystem-token-index,1.251703196241082,,1738.0,-0.7000000000000001,5.45,10.46,-73.66,-55.91,-27.35,21.02,21.02,21.02,16.73,25.94,111249.0,true,2020-12-10 14:45:00,,1632745847,,true,true,,yearn-ecosystem-token-index,,0.0,"[3, 15]"
9971,YETU,YETU,Yetucoin,,yetucoin,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,not_trading,,,1617272141,2021-06-20 23:59:00,true,true,,yetucoin,,0.0,[]
9972,YFB2,YFB2,Yearn Finance Bit2,,yearn-finance-bit2,4.5600000000000005,,3492.0,0.22,-23.88,-19.97,-77.2,-77.2,-83.15,-74.49,-74.49,-74.49,-76.37,-83.15,10.0,true,2020-11-10 15:00:00,,1632745546,,true,true,,YFB2,,0.0,[15]
9973,YFCS,YFCS,YFCSilver,,yfcsilver,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1616943885,,true,true,,yfcsilver,,0.0,[]
9974,YFD2,YFD,yEarn Finance Decentralized,,yearn-finance-decentralized,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1603808688,2020-11-08 23:59:00,true,true,,yearn-finance-decentralized,,0.0,[15]
9975,YFED,YFED,YFED.Finance,,yfedfinance,0.9963513891483331,,,0.0,0.0,0.0,38.49,21.55,114.82,-4.98,-4.98,-4.98,-63.29,235.45,0.0,true,2020-10-09 13:25:00,,1630961911,,true,true,,yfedfinance,,0.0,"[3, 15]"
9976,YFET,YFET,YFET Finance,,yfet-finance,3.47,,3487.0,-0.43,0.14,-0.59,-9.05,31.9,-60.83,-90.32,-90.32,-90.32,-90.26,-82.62,15.0,true,2020-11-05 14:05:00,,1632745427,,true,true,,yfet-finance,,0.0,[15]
9977,YFFC,YFFC,YFFC.Finance,,yffc-finance,0.010008474811911,,,0.0,0.0,0.0,0.0,0.0,0.0,-99.97,,,,0.0,0.0,not_trading_anymore,2020-09-15 12:15:00,,1604739044,,true,true,,yffc-finance,,0.0,"[3, 15]"
9978,YFFI,YFFI,yffi finance,,yffi-finance,2.1,,1551.0,-0.04,-2.99,-12.58,-46.06,-69.06,-50.8,-91.99,-99.19,-99.19,-99.12,-55.23,86694.0,true,2020-08-31 12:25:00,,1632745847,,true,true,,yffi-finance,,0.0,[15]
9979,YFFP,YFFP,YFFProtocol,,yffprotocol,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,not_trading,,,1602669315,,true,true,,yffprotocol,,0.0,[15]
9980,YFFS,YFFS,YFFS Finance,,yffs,1.010437666666666,,3143.0,-0.98,5.19,-13.64,-34.1,-38.65,-40.56,-98.01,-98.2,-98.2,-98.7,-33.87,351.0,true,2020-09-03 11:10:00,,1632745847,,true,true,,yffs,,0.0,[15]
9981,YFI3,YFI3,YFI3.money,,yfi3-money,0.19511798301688302,,,0.0,0.0,-16.39,-21.41,-82.47,-58.64,-99.66,-99.66,-99.66,-99.42,-97.82,0.0,true,2020-11-27 10:55:00,,1632156064,2020-10-23 23:59:00,true,true,,yfi3-money,,0.0,[15]
9982,YFIA,YFIA,YFIA,,yfia,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,true,,,1603201602,,true,true,,yfia,,0.0,[15]
9983,YFIB,YFIB,YFIBusiness,,yfibusiness,3.8200000000000003,,,0.0,0.0,0.0,-6.07,28.19,64.21,-79.37,-90.4,-90.4,-89.17,226.82,0.0,true,2020-09-04 13:25:00,,1631483320,,true,true,,yfibusiness,,0.0,[15]
9984,YFIC,YFIC,YearnClassic,,yearnclassic,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,not_trading,,,1600694625,2020-10-15 23:59:00,true,true,,yearnclassic,,0.0,[15]
